Sample_Number,Time_Seconds,Channel_4_Voltage
1,0.000000,-0.004320
2,0.000250,-0.004320
3,0.000500,-0.004320
4,0.000750,0.000785
5,0.001000,0.000785
6,0.001250,-0.004320
7,0.001500,-0.004320
8,0.001750,-0.004320
9,0.002000,-0.004320
10,0.002250,0.000785
11,0.002500,-0.004320
12,0.002750,-0.004320
13,0.003000,-0.004320
14,0.003250,0.000785
15,0.003500,-0.004320
16,0.003750,-0.004320
17,0.004000,-0.004320
18,0.004250,-0.004320
19,0.004500,-0.004320
20,0.004750,-0.004320
21,0.005000,-0.009425
22,0.005250,-0.004320
23,0.005500,-0.009425
24,0.005750,-0.009425
25,0.006000,-0.004320
26,0.006250,-0.009425
27,0.006500,-0.004320
28,0.006750,-0.009425
29,0.007000,-0.009425
30,0.007250,-0.004320
31,0.007500,-0.004320
32,0.007750,-0.004320
33,0.008000,-0.004320
34,0.008250,-0.004320
35,0.008500,-0.004320
36,0.008750,0.000785
37,0.009000,-0.004320
38,0.009250,0.000785
39,0.009500,-0.004320
40,0.009750,-0.004320
41,0.010000,-0.004320
42,0.010250,-0.004320
43,0.010500,-0.004320
44,0.010750,-0.004320
45,0.011000,-0.004320
46,0.011250,-0.004320
47,0.011500,-0.004320
48,0.011750,-0.004320
49,0.012000,-0.004320
50,0.012250,-0.004320
51,0.012500,-0.004320
52,0.012750,-0.004320
53,0.013000,-0.004320
54,0.013250,-0.004320
55,0.013500,-0.004320
56,0.013750,-0.004320
57,0.014000,-0.004320
58,0.014250,-0.004320
59,0.014500,-0.004320
60,0.014750,-0.004320
61,0.015000,-0.004320
62,0.015250,-0.004320
63,0.015500,0.000785
64,0.015750,-0.004320
65,0.016000,-0.004320
66,0.016250,-0.004320
67,0.016500,-0.004320
68,0.016750,-0.004320
69,0.017000,0.016101
70,0.017250,0.005890
71,0.017500,0.005890
72,0.017750,0.000785
73,0.018000,-0.004320
74,0.018250,-0.004320
75,0.018500,0.000785
76,0.018750,-0.004320
77,0.019000,-0.004320
78,0.019250,-0.004320
79,0.019500,-0.004320
80,0.019750,0.000785
81,0.020000,-0.004320
82,0.020250,-0.004320
83,0.020500,-0.004320
84,0.020750,-0.004320
85,0.021000,-0.004320
86,0.021250,-0.004320
87,0.021500,0.000785
88,0.021750,-0.004320
89,0.022000,-0.004320
90,0.022250,-0.004320
91,0.022500,-0.004320
92,0.022750,-0.004320
93,0.023000,-0.004320
94,0.023250,0.000785
95,0.023500,0.000785
96,0.023750,-0.004320
97,0.024000,-0.004320
98,0.024250,0.000785
99,0.024500,-0.004320
100,0.024750,0.000785
101,0.025000,-0.009425
102,0.025250,-0.004320
103,0.025500,-0.009425
104,0.025750,-0.009425
105,0.026000,-0.009425
106,0.026250,-0.009425
107,0.026500,-0.009425
108,0.026750,-0.009425
109,0.027000,-0.009425
110,0.027250,-0.004320
111,0.027500,-0.004320
112,0.027750,-0.004320
113,0.028000,-0.004320
114,0.028250,-0.004320
115,0.028500,-0.004320
116,0.028750,-0.004320
117,0.029000,-0.004320
118,0.029250,-0.004320
119,0.029500,-0.004320
120,0.029750,0.000785
121,0.030000,-0.004320
122,0.030250,0.000785
123,0.030500,-0.004320
124,0.030750,-0.004320
125,0.031000,-0.004320
126,0.031250,-0.004320
127,0.031500,0.000785
128,0.031750,-0.004320
129,0.032000,-0.004320
130,0.032250,-0.004320
131,0.032500,-0.004320
132,0.032750,-0.004320
133,0.033000,-0.004320
134,0.033250,-0.004320
135,0.033500,-0.004320
136,0.033750,-0.004320
137,0.034000,-0.004320
138,0.034250,-0.004320
139,0.034500,-0.004320
140,0.034750,-0.004320
141,0.035000,-0.004320
142,0.035250,0.000785
143,0.035500,-0.004320
144,0.035750,0.000785
145,0.036000,0.000785
146,0.036250,-0.004320
147,0.036500,0.016101
148,0.036750,0.016101
149,0.037000,-0.004320
150,0.037250,-0.004320
